# simv0_comparison.dat  --  decoupled vs coupled at aligned times
#   (spatial results in simv0_spatial.dat; adaptive step was used)
# t(s)          T_dec(K)       T_coup(K)      WS(m/s)        G_eff(W/m2)    h_eff(W/m2K)   P_dec(W)       P_coup(W)
   26200.000000     328.132510     305.779367      16.907106     916.138486      69.948171     288.000000     254.789419
   26300.000000     328.132510     305.760664      16.877714     913.006174      69.836482     288.000000     253.940415
   26400.000000     328.132510     305.741559      16.847609     909.809884      69.722083     288.000000     253.073937
   26500.000000     328.132510     305.722051      16.816788     906.549833      69.604967     288.000000     252.190036
   26600.000000     328.132510     305.702140      16.785252     903.226244      69.485130     288.000000     251.288765
   26700.000000     328.132510     305.681823      16.752997     899.839345      69.362563     288.000000     250.370181
   26800.000000     328.132510     305.661101      16.720023     896.389367      69.237260     288.000000     249.434337
   26900.000000     328.132510     305.639971      16.686326     892.876548      69.109214     288.000000     248.481290
   27000.000000     328.132510     305.618433      16.651906     889.301130      68.978417     288.000000     247.511100
   27100.000000     328.132510     305.596485      16.616759     885.663360      68.844863     288.000000     246.523825
   27200.000000     328.132510     305.574126      16.580886     881.963490      68.708544     288.000000     245.519526
   27300.000000     328.132510     305.551354      16.544282     878.201776      68.569450     288.000000     244.498264
   27400.000000     328.132510     305.528168      16.506946     874.378482      68.427575     288.000000     243.460103
   27500.000000     328.132510     305.504567      16.468876     870.493873      68.282910     288.000000     242.405107
   27600.000000     328.132510     305.480549      16.430069     866.548222      68.135447     288.000000     241.333341
   27700.000000     328.132510     305.456112      16.390524     862.541805      67.985175     288.000000     240.244872
   27800.000000     328.132510     305.431255      16.350237     858.474905      67.832087     288.000000     239.139768
   27900.000000     328.132510     305.405977      16.309207     854.347809      67.676172     288.000000     238.018099
   28000.000000     328.132510     305.380276      16.267430     850.160809      67.517421     288.000000     236.879934
   28100.000000     328.132510     305.354149      16.224904     845.914203      67.355825     288.000000     235.725347
   28200.000000     328.132510     305.327596      16.181626     841.608293      67.191372     288.000000     234.554409
