# simv0 diagnostic: method selection + RK45 step-size log
# DECOUPLED method: Classical RK4
#   reason: Stiffness: tau/h=   3.9 < 5, tol=  0.100 K: O(h^4) accuracy
# COUPLED   method: Classical RK4
#   reason: BTE-NS coupling, tau/h=   3.9, tol=  0.100 K: O(h^4) accuracy
# SPATIAL   method: RK45 Dormand-Prince (adaptive)
#   reason: Spatial 1D PDE, tau/h=   3.9: adaptive error control essential
#
# RK45 adaptive log (spatial mode only):
# t(s)          h_used(s)      err_norm       accept
          0.000     100.000000***************  REJECT
        963.346       2.494889       0.454580  ACCEPT
        965.841       2.628886       0.661743  ACCEPT
        968.469       2.569665       0.856182  ACCEPT
        971.039       2.385644       0.711773  ACCEPT
        973.425       2.298158       0.468025  ACCEPT
        975.723       2.407513       0.402831  ACCEPT
        978.130       2.598882       0.544142  ACCEPT
        980.729       2.641719       0.825054  ACCEPT
        983.371       2.470772       0.849618  ACCEPT
        985.842       2.297367       0.561020  ACCEPT
        988.139       2.321011       0.390155  ACCEPT
        990.460       2.521576       0.440126  ACCEPT
        992.982       2.674233       0.710572  ACCEPT
        995.656       2.577034       0.940700  ACCEPT
        998.233       2.347862       0.713206  ACCEPT
       1000.581       2.260852       0.425842  ACCEPT
       1002.842       2.413597       0.372512  ACCEPT
       1005.255       2.646546       0.560166  ACCEPT
       1007.902       2.674598       0.919261  ACCEPT
       1010.576       2.448010       0.900781  ACCEPT
       1013.024       2.249738       0.525614  ACCEPT
       1015.274       2.302719       0.349862  ACCEPT
       1017.577       2.556844       0.428216  ACCEPT
       1020.134       2.726554       0.778161  ACCEPT
       1022.860       2.580136       1.045096  REJECT
       1022.860       2.301728       0.536310  ACCEPT
       1025.162       2.346460       0.397380  ACCEPT
       1027.508       2.539887       0.467843  ACCEPT
       1030.048       2.660951       0.735007  ACCEPT
       1032.709       2.546955       0.906607  ACCEPT
       1035.256       2.337652       0.667713  ACCEPT
       1037.594       2.280891       0.419557  ACCEPT
       1039.875       2.442243       0.392814  ACCEPT
       1042.317       2.649683       0.596085  ACCEPT
       1044.967       2.644691       0.915920  ACCEPT
       1047.611       2.422400       0.840590  ACCEPT
       1050.034       2.257208       0.499031  ACCEPT
       1052.291       2.334471       0.359527  ACCEPT
       1054.626       2.578011       0.461851  ACCEPT
       1057.204       2.707865       0.807987  ACCEPT
       1059.911       2.543247       0.994589  ACCEPT
       1062.455       2.291408       0.651862  ACCEPT
       1064.746       2.246538       0.375141  ACCEPT
       1066.993       2.459899       0.367054  ACCEPT
       1069.452       2.705289       0.630437  ACCEPT
       1072.158       2.670102       1.032698  REJECT
       1072.158       2.387678       0.536288  ACCEPT
       1074.545       2.434101       0.492963  ACCEPT
       1076.980       2.523587       0.561409  ACCEPT
       1079.503       2.549206       0.684169  ACCEPT
       1082.052       2.475225       0.703699  ACCEPT
       1084.528       2.389900       0.585029  ACCEPT
       1086.917       2.394346       0.488531  ACCEPT
       1089.312       2.486858       0.509235  ACCEPT
       1091.799       2.561591       0.636032  ACCEPT
       1094.360       2.523810       0.734137  ACCEPT
       1096.884       2.416260       0.653945  ACCEPT
       1099.300       2.367434       0.512061  ACCEPT
       1101.668       2.435881       0.472282  ACCEPT
       1104.104       2.547172       0.568086  ACCEPT
       1106.651       2.566954       0.723013  ACCEPT
       1109.218       2.465081       0.727544  ACCEPT
       1111.683       2.364297       0.567506  ACCEPT
       1114.047       2.383145       0.460592  ACCEPT
       1116.430       2.504550       0.500170  ACCEPT
       1118.935       2.589099       0.666343  ACCEPT
       1121.524       2.527270       0.777960  ACCEPT
       1124.051       2.391678       0.653089  ACCEPT
       1126.443       2.343963       0.481834  ACCEPT
